Tempo,SP,PV_Prob,Sinal_Controle_Prob
0,40,0,0
0.1,40,0.0181566781459216,32.6251841506329
0.2,40,0.641454999301872,32.7562822137193
0.3,40,1.28590727246306,32.860145878831
0.4,40,1.91427507352466,32.9668232368053
0.5,40,2.51620974277946,33.085016145517
0.6,40,3.11721981633999,33.1943325696071
0.7,40,3.71617876145451,33.2957065533323
0.8,40,4.3373211581142,33.3693954974747
0.9,40,4.93961401038301,33.4485273914935
1,40,5.4907635417613,33.5597555497227
1.1,40,6.07661457798393,33.6338488874968
1.2,40,6.6294663603303,33.7254959998545
1.3,40,7.16537941024055,33.8221194893624
1.4,40,7.70029465799432,33.9109825766315
1.5,40,8.21727175238523,34.0059245530806
1.6,40,8.72669218007238,34.0987611360497
1.7,40,9.24384180085617,34.177139970609
1.8,40,9.75150455958282,34.2549856906743
1.9,40,10.2507371395641,34.3315878324563
2,40,10.7342181982434,34.413055494341
2.1,40,11.1911356697426,34.5084633464257
2.2,40,11.6599508311081,34.5868520040356
2.3,40,12.1300743020707,34.6566720384323
2.4,40,12.5809711957679,34.7346589843424
2.5,40,13.0298877522879,34.8070475350897
2.6,40,13.4683010525954,34.8808240780022
2.7,40,13.8892931499062,34.961801709755
2.8,40,14.3094662986089,35.0367117300151
2.9,40,14.7120986348486,35.1192122828658
3,40,15.1249822651278,35.1869056624004
3.1,40,15.510878209448,35.2700148555931
3.2,40,15.8915528027873,35.351210336077
3.3,40,16.2688652648896,35.4290585221569
3.4,40,16.6191121447978,35.5229552239137
3.5,40,17.0076742364087,35.5799827628423
3.6,40,17.3786501870431,35.6451435993422
3.7,40,17.7328766995011,35.7180363621838
3.8,40,18.1025735861419,35.7726376754929
3.9,40,18.4355191499904,35.8513129180142
4,40,18.7793627039748,35.9157682715631
4.1,40,19.1162957830915,35.9803610757402
4.2,40,19.4533870077899,36.0394339038569
4.3,40,19.7849102485688,36.0976567472566
4.4,40,20.0993613863568,36.1645060548446
4.5,40,20.417175036545,36.2235803341093
4.6,40,20.7285304200257,36.2828395406043
4.7,40,21.0427410949441,36.3347871431505
4.8,40,21.3563679498903,36.3821837719952
4.9,40,21.6648815792954,36.4287347632024
5,40,21.9486747236022,36.4905214521794
5.1,40,22.237388487716,36.5437522250849
5.2,40,22.5086529057598,36.6066022441577
5.3,40,22.7767866103365,36.6676666947309
5.4,40,23.0517766520526,36.7188462349252
5.5,40,23.3375768185195,36.7568048726554
5.6,40,23.5956751340892,36.8127954180542
5.7,40,23.8610685473751,36.8587035906675
5.8,40,24.1162055298837,36.9087347161824
5.9,40,24.3805771465032,36.9471481885428
6,40,24.6186294661724,37.0028082613487
6.1,40,24.8641749768153,37.0485450532053
6.2,40,25.1109120532753,37.089380799185
6.3,40,25.3589983974409,37.1251677494934
6.4,40,25.6072728828222,37.1568317950632
6.5,40,25.8368202472269,37.1998047795838
6.6,40,26.0470546826457,37.2548643563265
6.7,40,26.2616349029177,37.3030140216622
6.8,40,26.4697584946354,37.3529990123739
6.9,40,26.7085321812938,37.3746435481465
7,40,26.9136404700314,37.4199386696358
7.1,40,27.1290855694113,37.4535172210214
7.2,40,27.3316179425719,37.4941854354117
7.3,40,27.5416480942082,37.5254949445954
7.4,40,27.7317689925458,37.5696899220445
7.5,40,27.9126894858663,37.6183504956143
7.6,40,28.0907919851075,37.6664158244595
7.7,40,28.2852354845916,37.6982972571189
7.8,40,28.4698704642213,37.7350713459875
7.9,40,28.651392674179,37.7714312952345
8,40,28.8460336503555,37.7941819758876
8.1,40,29.0261057373729,37.8257066144757
8.2,40,29.2023079697572,37.8575079010522
8.3,40,29.3894116853777,37.8775943415898
8.4,40,29.5495242165776,37.9167119291645
8.5,40,29.7221026777986,37.943095517343
8.6,40,29.8931571695444,37.9679614092336
8.7,40,30.0506360647211,38.0011681160567
8.8,40,30.2102024241742,38.0301517897075
8.9,40,30.3535051680054,38.0698535119544
9,40,30.4949336084411,38.1087918218708
9.1,40,30.6467364315782,38.1370017804559
9.2,40,30.8022044167942,38.1597921216144
9.3,40,30.9734924930893,38.1671857806889
9.4,40,31.1093345039885,38.2007628199057
9.5,40,31.2516088942024,38.2269175654273
9.6,40,31.388912510454,38.2548520722588
9.7,40,31.5057290136224,38.2973072055061
9.8,40,31.6358652160519,38.3270244001057
9.9,40,31.7505905339873,38.3672346972135
10,40,31.8899291418812,38.3855249446284
10.1,40,32.0097584497505,38.4175053631369
10.2,40,32.1376313251944,38.4410049615787
10.3,40,32.2570552882197,38.4693529065469
10.4,40,32.3830720800824,38.4904103197754
10.5,40,32.498061848603,38.5184495153813
10.6,40,32.6221244933093,38.5372454077233
10.7,40,32.7465719203434,38.5537423153706
